date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:48	25162/-1	---M--	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:18:42%20GMT	https://kewaqi.com/	E:/kewaqi/kewaqi/kewaqi.com/index.html	(from )
22:18:48	257/257	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2015:18:42%20GMT	https://kewaqi.com/robots.txt		(from )
22:18:50	1631/1631	---MCZ	200	added ('OK')	text/css	etag:W/%22DD147D981872366613C48E75AE7AC05A%22	http://at.alicdn.com/t/c/font_3587481_050qohamckwp.css	E:/kewaqi/kewaqi/at.alicdn.com/t/c/font_3587481_050qohamckwp.css	(from https://kewaqi.com/)
22:18:50	15914/15914	---M--	200	added ('OK')	image/png	etag:%223e2a-5e77fdea87c80%22	https://kewaqi.com/upfile/20220831100106624.png	E:/kewaqi/kewaqi/kewaqi.com/upfile/20220831100106624.png	(from https://kewaqi.com/)
22:18:54	68088/68088	---M--	200	added ('OK')	text/css	etag:%22109f8-5dccf40bca880%22	https://kewaqi.com/templates/netskin/css/animate.css	E:/kewaqi/kewaqi/kewaqi.com/templates/netskin/css/animate.css	(from https://kewaqi.com/)
22:18:59	13667/13667	---M--	200	added ('OK')	text/css	etag:%223563-597769dbe9000%22	https://kewaqi.com/templates/netskin/swiper/css/swiper.min.css	E:/kewaqi/kewaqi/kewaqi.com/templates/netskin/swiper/css/swiper.min.css	(from https://kewaqi.com/)
22:19:01	16092/16092	---M--	200	added ('OK')	text/css	etag:%223edc-5eecf7c345a40%22	https://kewaqi.com/templates/netskin/css/reset.css	E:/kewaqi/kewaqi/kewaqi.com/templates/netskin/css/reset.css	(from https://kewaqi.com/)
22:19:02	18757/18757	---M--	200	added ('OK')	text/css	etag:%224945-5eb73c6c32f00%22	https://kewaqi.com/templates/netskin/css/index.css	E:/kewaqi/kewaqi/kewaqi.com/templates/netskin/css/index.css	(from https://kewaqi.com/)
22:19:05	62975/62975	---M--	200	added ('OK')	image/png	etag:%22f5ff-5eecf750d4c40%22	https://kewaqi.com/templates/netskin/images/logo.png	E:/kewaqi/kewaqi/kewaqi.com/templates/netskin/images/logo.png	(from https://kewaqi.com/)
22:19:07	18918/18918	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:01%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=22	E:/kewaqi/kewaqi/kewaqi.com/html/cn/index3c87.html	(from https://kewaqi.com/)
22:19:07	25162/25162	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:01%20GMT	https://kewaqi.com/html/cn/	E:/kewaqi/kewaqi/kewaqi.com/html/cn/index.html	(from https://kewaqi.com/)
22:19:09	19472/19472	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:03%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=23	E:/kewaqi/kewaqi/kewaqi.com/html/cn/indexd57c.html	(from https://kewaqi.com/)
22:19:12	19045/19045	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:06%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=24	E:/kewaqi/kewaqi/kewaqi.com/html/cn/indexa04e.html	(from https://kewaqi.com/)
22:19:14	22042/22042	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:08%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=25	E:/kewaqi/kewaqi/kewaqi.com/html/cn/index8142.html	(from https://kewaqi.com/)
22:19:16	22200/22200	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:10%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=26	E:/kewaqi/kewaqi/kewaqi.com/html/cn/indexc8d5.html	(from https://kewaqi.com/)
22:19:19	22209/22209	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:13%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=27	E:/kewaqi/kewaqi/kewaqi.com/html/cn/index22a1.html	(from https://kewaqi.com/)
22:19:21	19086/19086	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:16%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=28	E:/kewaqi/kewaqi/kewaqi.com/html/cn/indexbecc.html	(from https://kewaqi.com/)
22:19:24	17681/17681	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:18%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=29	E:/kewaqi/kewaqi/kewaqi.com/html/cn/indexa564.html	(from https://kewaqi.com/)
22:19:26	17577/17577	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:20%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=30	E:/kewaqi/kewaqi/kewaqi.com/html/cn/index180a.html	(from https://kewaqi.com/)
22:19:28	17099/17099	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:22%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=31	E:/kewaqi/kewaqi/kewaqi.com/html/cn/index73ae.html	(from https://kewaqi.com/)
22:19:31	15313/15313	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2015:19:25%20GMT	https://kewaqi.com/html/cn/index.php?ac=Article&at=List&tid=32	E:/kewaqi/kewaqi/kewaqi.com/html/cn/indexc17f.html	(from https://kewaqi.com/)
